Year,Age,Gender,Educational Attainment,Personal Income,Population Count
2001/1/10 0:00,00 to 17,Female,High school or equivalent,"C: 10,000 to 14,999",1660
2001/1/10 0:00,00 to 17,Male,High school or equivalent,"C: 10,000 to 14,999",1817
2001/1/10 0:00,00 to 17,Male,"College, less than 4-yr degree","B: 5,000 to 9,999",2683
2001/1/10 0:00,00 to 17,Female,Bachelor's degree or higher,"A: 0 to 4,999",2879
2001/1/10 0:00,00 to 17,Female,High school or equivalent,"B: 5,000 to 9,999",3641
2001/1/10 0:00,00 to 17,Male,No high school diploma,"F: 35,000 to 49,999",3642
2001/1/10 0:00,65 to 80+,Female,No high school diploma,"H: 75,000 and over",4876
2001/1/10 0:00,00 to 17,Male,No high school diploma,"C: 10,000 to 14,999",5345
2001/1/10 0:00,00 to 17,Female,High school or equivalent,"A: 0 to 4,999",5811
2001/1/10 0:00,00 to 17,Female,No high school diploma,"D: 15,000 to 24,999",6386
2001/1/10 0:00,00 to 17,Female,No high school diploma,"C: 10,000 to 14,999",6967
2001/1/10 0:00,65 to 80+,Male,No high school diploma,"H: 75,000 and over",8432
2001/1/10 0:00,65 to 80+,Female,No high school diploma,"G: 50,000 to 74,999",8606
2001/1/10 0:00,65 to 80+,Female,No high school diploma,"F: 35,000 to 49,999",8907
2001/1/10 0:00,00 to 17,Male,No high school diploma,"D: 15,000 to 24,999",9139
2001/1/10 0:00,65 to 80+,Male,"College, less than 4-yr degree","A: 0 to 4,999",9228
2001/1/10 0:00,65 to 80+,Female,No high school diploma,"E: 25,000 to 34,999",11302
2001/1/10 0:00,65 to 80+,Male,No high school diploma,"G: 50,000 to 74,999",13619
2001/1/10 0:00,65 to 80+,Male,Bachelor's degree or higher,"A: 0 to 4,999",14892
2001/1/10 0:00,18 to 64,Female,No high school diploma,"H: 75,000 and over",15038
2001/1/10 0:00,18 to 64,Female,No high school diploma,"G: 50,000 to 74,999",18515
2001/1/10 0:00,65 to 80+,Male,No high school diploma,"A: 0 to 4,999",18733
2001/1/10 0:00,65 to 80+,Male,High school or equivalent,"H: 75,000 and over",20167
2001/1/10 0:00,00 to 17,Male,No high school diploma,"B: 5,000 to 9,999",21116
2001/1/10 0:00,65 to 80+,Female,High school or equivalent,"H: 75,000 and over",22945
2001/1/10 0:00,65 to 80+,Male,"College, less than 4-yr degree","B: 5,000 to 9,999",23578
2001/1/10 0:00,00 to 17,Female,No high school diploma,"B: 5,000 to 9,999",24781
2001/1/10 0:00,65 to 80+,Male,High school or equivalent,"A: 0 to 4,999",24958
2001/1/10 0:00,65 to 80+,Female,"College, less than 4-yr degree","A: 0 to 4,999",25882
2001/1/10 0:00,65 to 80+,Male,No high school diploma,"F: 35,000 to 49,999",27814
2001/1/10 0:00,65 to 80+,Female,Bachelor's degree or higher,"A: 0 to 4,999",28702
2001/1/10 0:00,65 to 80+,Male,No high school diploma,"E: 25,000 to 34,999",28729
2001/1/10 0:00,65 to 80+,Male,Bachelor's degree or higher,"B: 5,000 to 9,999",28867
2001/1/10 0:00,65 to 80+,Female,"College, less than 4-yr degree","H: 75,000 and over",30088
2001/1/10 0:00,65 to 80+,Male,High school or equivalent,"B: 5,000 to 9,999",30722
2001/1/10 0:00,18 to 64,Female,No high school diploma,"F: 35,000 to 49,999",35129
2001/1/10 0:00,65 to 80+,Female,High school or equivalent,"G: 50,000 to 74,999",35909
2001/1/10 0:00,65 to 80+,Female,High school or equivalent,"A: 0 to 4,999",38084
2001/1/10 0:00,18 to 64,Male,No high school diploma,"H: 75,000 and over",38266
2001/1/10 0:00,65 to 80+,Male,High school or equivalent,"F: 35,000 to 49,999",38792
2001/1/10 0:00,65 to 80+,Male,"College, less than 4-yr degree","G: 50,000 to 74,999",39453
2001/1/10 0:00,65 to 80+,Female,High school or equivalent,"F: 35,000 to 49,999",40875
2001/1/10 0:00,65 to 80+,Female,"College, less than 4-yr degree","G: 50,000 to 74,999",41076
2001/1/10 0:00,18 to 64,Female,High school or equivalent,"H: 75,000 and over",43721
2001/1/10 0:00,65 to 80+,Male,Bachelor's degree or higher,"C: 10,000 to 14,999",45842
2001/1/10 0:00,65 to 80+,Male,"College, less than 4-yr degree","F: 35,000 to 49,999",46221
2001/1/10 0:00,65 to 80+,Male,"College, less than 4-yr degree","H: 75,000 and over",51157
2001/1/10 0:00,65 to 80+,Male,High school or equivalent,"G: 50,000 to 74,999",51319
2001/1/10 0:00,65 to 80+,Female,"College, less than 4-yr degree","F: 35,000 to 49,999",55103
2001/1/10 0:00,65 to 80+,Female,No high school diploma,"D: 15,000 to 24,999",57098
2001/1/10 0:00,65 to 80+,Female,High school or equivalent,"E: 25,000 to 34,999",58847
2001/1/10 0:00,65 to 80+,Male,"College, less than 4-yr degree","C: 10,000 to 14,999",60002
2001/1/10 0:00,65 to 80+,Male,High school or equivalent,"E: 25,000 to 34,999",62167
2001/1/10 0:00,65 to 80+,Male,Bachelor's degree or higher,"F: 35,000 to 49,999",64614
2001/1/10 0:00,65 to 80+,Female,Bachelor's degree or higher,"E: 25,000 to 34,999",65563
2001/1/10 0:00,65 to 80+,Male,High school or equivalent,"C: 10,000 to 14,999",67289
2001/1/10 0:00,65 to 80+,Female,No high school diploma,"A: 0 to 4,999",72036
2001/1/10 0:00,65 to 80+,Female,"College, less than 4-yr degree","E: 25,000 to 34,999",73450
2001/1/10 0:00,65 to 80+,Male,"College, less than 4-yr degree","E: 25,000 to 34,999",73522
2001/1/10 0:00,65 to 80+,Female,Bachelor's degree or higher,"H: 75,000 and over",73833
2001/1/10 0:00,65 to 80+,Male,No high school diploma,"B: 5,000 to 9,999",75130
2001/1/10 0:00,65 to 80+,Female,Bachelor's degree or higher,"B: 5,000 to 9,999",75754
2001/1/10 0:00,65 to 80+,Female,Bachelor's degree or higher,"F: 35,000 to 49,999",76520
2001/1/10 0:00,65 to 80+,Female,Bachelor's degree or higher,"G: 50,000 to 74,999",78561
2001/1/10 0:00,18 to 64,Male,Bachelor's degree or higher,"B: 5,000 to 9,999",79453
2001/1/10 0:00,65 to 80+,Male,High school or equivalent,"D: 15,000 to 24,999",79553
2001/1/10 0:00,65 to 80+,Male,No high school diploma,"D: 15,000 to 24,999",81088
2001/1/10 0:00,65 to 80+,Male,No high school diploma,"C: 10,000 to 14,999",81385
2001/1/10 0:00,65 to 80+,Female,Bachelor's degree or higher,"C: 10,000 to 14,999",82404
2001/1/10 0:00,65 to 80+,Male,Bachelor's degree or higher,"E: 25,000 to 34,999",85110
2001/1/10 0:00,65 to 80+,Female,"College, less than 4-yr degree","C: 10,000 to 14,999",90675
2001/1/10 0:00,18 to 64,Male,No high school diploma,"G: 50,000 to 74,999",93885
2001/1/10 0:00,65 to 80+,Male,"College, less than 4-yr degree","D: 15,000 to 24,999",98499
2001/1/10 0:00,65 to 80+,Male,Bachelor's degree or higher,"G: 50,000 to 74,999",103469
2001/1/10 0:00,65 to 80+,Female,"College, less than 4-yr degree","B: 5,000 to 9,999",104478
2001/1/10 0:00,65 to 80+,Female,Bachelor's degree or higher,"D: 15,000 to 24,999",107427
2001/1/10 0:00,18 to 64,Female,No high school diploma,"E: 25,000 to 34,999",107504
2001/1/10 0:00,18 to 64,Male,Bachelor's degree or higher,"A: 0 to 4,999",108052
2001/1/10 0:00,65 to 80+,Male,Bachelor's degree or higher,"D: 15,000 to 24,999",111055
2001/1/10 0:00,18 to 64,Male,Bachelor's degree or higher,"C: 10,000 to 14,999",127848
2001/1/10 0:00,18 to 64,Female,Bachelor's degree or higher,"C: 10,000 to 14,999",133220
2001/1/10 0:00,65 to 80+,Female,No high school diploma,"B: 5,000 to 9,999",136110
2001/1/10 0:00,18 to 64,Female,High school or equivalent,"G: 50,000 to 74,999",136694
2001/1/10 0:00,65 to 80+,Female,High school or equivalent,"B: 5,000 to 9,999",138923
2001/1/10 0:00,65 to 80+,Female,High school or equivalent,"D: 15,000 to 24,999",138952
2001/1/10 0:00,65 to 80+,Female,High school or equivalent,"C: 10,000 to 14,999",141254
2001/1/10 0:00,65 to 80+,Female,No high school diploma,"C: 10,000 to 14,999",146005
2001/1/10 0:00,65 to 80+,Female,"College, less than 4-yr degree","D: 15,000 to 24,999",152795
2001/1/10 0:00,18 to 64,Female,Bachelor's degree or higher,"B: 5,000 to 9,999",168951
2001/1/10 0:00,18 to 64,Female,"College, less than 4-yr degree","H: 75,000 and over",184398
2001/1/10 0:00,18 to 64,Male,High school or equivalent,"B: 5,000 to 9,999",190829
2001/1/10 0:00,65 to 80+,Male,Bachelor's degree or higher,"H: 75,000 and over",192339
2001/1/10 0:00,18 to 64,Male,No high school diploma,"F: 35,000 to 49,999",192622
2001/1/10 0:00,18 to 64,Male,High school or equivalent,"C: 10,000 to 14,999",209509
2001/1/10 0:00,18 to 64,Male,High school or equivalent,"H: 75,000 and over",215851
2001/1/10 0:00,18 to 64,Male,"College, less than 4-yr degree","B: 5,000 to 9,999",220408
2001/1/10 0:00,18 to 64,Female,High school or equivalent,"F: 35,000 to 49,999",225261
2001/1/10 0:00,18 to 64,Male,No high school diploma,"B: 5,000 to 9,999",226209
2001/1/10 0:00,18 to 64,Male,"College, less than 4-yr degree","C: 10,000 to 14,999",234677
2001/1/10 0:00,18 to 64,Male,Bachelor's degree or higher,"D: 15,000 to 24,999",234951
2001/1/10 0:00,18 to 64,Female,No high school diploma,"B: 5,000 to 9,999",236424
2001/1/10 0:00,18 to 64,Male,Bachelor's degree or higher,"E: 25,000 to 34,999",239971
2001/1/10 0:00,18 to 64,Male,No high school diploma,"E: 25,000 to 34,999",244978
2001/1/10 0:00,18 to 64,Female,High school or equivalent,"B: 5,000 to 9,999",252271
2001/1/10 0:00,18 to 64,Female,No high school diploma,"C: 10,000 to 14,999",253247
2001/1/10 0:00,18 to 64,Female,Bachelor's degree or higher,"A: 0 to 4,999",269680
2001/1/10 0:00,18 to 64,Female,High school or equivalent,"C: 10,000 to 14,999",276576
2001/1/10 0:00,18 to 64,Female,No high school diploma,"D: 15,000 to 24,999",287963
2001/1/10 0:00,18 to 64,Male,No high school diploma,"C: 10,000 to 14,999",295536
2001/1/10 0:00,18 to 64,Female,Bachelor's degree or higher,"E: 25,000 to 34,999",305706
2001/1/10 0:00,18 to 64,Male,"College, less than 4-yr degree","A: 0 to 4,999",310460
2001/1/10 0:00,18 to 64,Female,"College, less than 4-yr degree","G: 50,000 to 74,999",321434
2001/1/10 0:00,18 to 64,Female,Bachelor's degree or higher,"D: 15,000 to 24,999",325516
2001/1/10 0:00,18 to 64,Male,High school or equivalent,"G: 50,000 to 74,999",339017
2001/1/10 0:00,18 to 64,Male,High school or equivalent,"A: 0 to 4,999",345253
2001/1/10 0:00,18 to 64,Male,"College, less than 4-yr degree","D: 15,000 to 24,999",356706
2001/1/10 0:00,18 to 64,Female,High school or equivalent,"E: 25,000 to 34,999",363540
2001/1/10 0:00,18 to 64,Male,No high school diploma,"A: 0 to 4,999",369566
2001/1/10 0:00,18 to 64,Female,"College, less than 4-yr degree","B: 5,000 to 9,999",374128
2001/1/10 0:00,18 to 64,Male,"College, less than 4-yr degree","E: 25,000 to 34,999",374227
2001/1/10 0:00,18 to 64,Female,"College, less than 4-yr degree","C: 10,000 to 14,999",386929
2001/1/10 0:00,18 to 64,Male,Bachelor's degree or higher,"F: 35,000 to 49,999",408505
2001/1/10 0:00,18 to 64,Male,High school or equivalent,"E: 25,000 to 34,999",412122
2001/1/10 0:00,18 to 64,Female,High school or equivalent,"D: 15,000 to 24,999",436288
2001/1/10 0:00,18 to 64,Male,"College, less than 4-yr degree","H: 75,000 and over",441967
2001/1/10 0:00,18 to 64,Female,"College, less than 4-yr degree","F: 35,000 to 49,999",442917
2001/1/10 0:00,18 to 64,Female,"College, less than 4-yr degree","A: 0 to 4,999",443607
2001/1/10 0:00,18 to 64,Male,High school or equivalent,"F: 35,000 to 49,999",470369
2001/1/10 0:00,18 to 64,Male,"College, less than 4-yr degree","F: 35,000 to 49,999",474116
2001/1/10 0:00,18 to 64,Female,"College, less than 4-yr degree","E: 25,000 to 34,999",491109
2001/1/10 0:00,18 to 64,Female,High school or equivalent,"A: 0 to 4,999",496567
2001/1/10 0:00,18 to 64,Female,Bachelor's degree or higher,"F: 35,000 to 49,999",516029
2001/1/10 0:00,18 to 64,Male,High school or equivalent,"D: 15,000 to 24,999",533513
2001/1/10 0:00,18 to 64,Male,No high school diploma,"D: 15,000 to 24,999",535027
2001/1/10 0:00,18 to 64,Female,"College, less than 4-yr degree","D: 15,000 to 24,999",567753
2001/1/10 0:00,18 to 64,Male,"College, less than 4-yr degree","G: 50,000 to 74,999",581119
2001/1/10 0:00,00 to 17,Male,No high school diploma,"A: 0 to 4,999",596761
2001/1/10 0:00,00 to 17,Female,No high school diploma,"A: 0 to 4,999",610512
2001/1/10 0:00,18 to 64,Male,Bachelor's degree or higher,"G: 50,000 to 74,999",624308
2001/1/10 0:00,18 to 64,Female,No high school diploma,"A: 0 to 4,999",666858
2001/1/10 0:00,18 to 64,Female,Bachelor's degree or higher,"G: 50,000 to 74,999",687153
2001/1/10 0:00,18 to 64,Female,Bachelor's degree or higher,"H: 75,000 and over",755781
2001/1/10 0:00,18 to 64,Male,Bachelor's degree or higher,"H: 75,000 and over",1424758
2001/1/11 0:00,00 to 17,Male,"College, less than 4-yr degree","E: 25,000 to 34,999",1209
2001/1/11 0:00,00 to 17,Male,High school or equivalent,"D: 15,000 to 24,999",1312
2001/1/11 0:00,00 to 17,Male,"College, less than 4-yr degree","B: 5,000 to 9,999",1324
2001/1/11 0:00,00 to 17,Male,High school or equivalent,"C: 10,000 to 14,999",1328
2001/1/11 0:00,00 to 17,Female,"College, less than 4-yr degree","G: 50,000 to 74,999",1614
2001/1/11 0:00,00 to 17,Male,"College, less than 4-yr degree","H: 75,000 and over",1618
2001/1/11 0:00,00 to 17,Male,No high school diploma,"F: 35,000 to 49,999",1647
2001/1/11 0:00,65 to 80+,Male,No high school diploma,"H: 75,000 and over",1686
2001/1/11 0:00,65 to 80+,Female,No high school diploma,"H: 75,000 and over",2190
2001/1/11 0:00,00 to 17,Male,Bachelor's degree or higher,"C: 10,000 to 14,999",2394
2001/1/11 0:00,00 to 17,Female,High school or equivalent,"C: 10,000 to 14,999",2561
2001/1/11 0:00,00 to 17,Female,Bachelor's degree or higher,"D: 15,000 to 24,999",2859
2001/1/11 0:00,00 to 17,Male,No high school diploma,"E: 25,000 to 34,999",3220
2001/1/11 0:00,00 to 17,Female,"College, less than 4-yr degree","A: 0 to 4,999",4089
2001/1/11 0:00,00 to 17,Male,"College, less than 4-yr degree","A: 0 to 4,999",4421
2001/1/11 0:00,00 to 17,Female,"College, less than 4-yr degree","B: 5,000 to 9,999",4503
2001/1/11 0:00,00 to 17,Male,High school or equivalent,"A: 0 to 4,999",5434
2001/1/11 0:00,65 to 80+,Male,No high school diploma,"G: 50,000 to 74,999",5966
2001/1/11 0:00,65 to 80+,Female,No high school diploma,"G: 50,000 to 74,999",6419
2001/1/11 0:00,00 to 17,Female,High school or equivalent,"A: 0 to 4,999",6903
2001/1/11 0:00,18 to 64,Female,No high school diploma,"H: 75,000 and over",7168
2001/1/11 0:00,00 to 17,Male,No high school diploma,"C: 10,000 to 14,999",9049
2001/1/11 0:00,65 to 80+,Male,High school or equivalent,"H: 75,000 and over",9363
2001/1/11 0:00,00 to 17,Male,No high school diploma,"D: 15,000 to 24,999",10327
2001/1/11 0:00,65 to 80+,Female,High school or equivalent,"H: 75,000 and over",10372
2001/1/11 0:00,65 to 80+,Female,No high school diploma,"F: 35,000 to 49,999",10588
2001/1/11 0:00,00 to 17,Female,No high school diploma,"C: 10,000 to 14,999",13283
2001/1/11 0:00,65 to 80+,Female,No high school diploma,"E: 25,000 to 34,999",13821
2001/1/11 0:00,65 to 80+,Male,"College, less than 4-yr degree","A: 0 to 4,999",15250
2001/1/11 0:00,65 to 80+,Male,High school or equivalent,"B: 5,000 to 9,999",16777
2001/1/11 0:00,18 to 64,Female,No high school diploma,"G: 50,000 to 74,999",18925
2001/1/11 0:00,65 to 80+,Male,No high school diploma,"F: 35,000 to 49,999",20806
2001/1/11 0:00,65 to 80+,Male,No high school diploma,"E: 25,000 to 34,999",21236
2001/1/11 0:00,65 to 80+,Male,Bachelor's degree or higher,"A: 0 to 4,999",21851
2001/1/11 0:00,00 to 17,Male,No high school diploma,"B: 5,000 to 9,999",22729
2001/1/11 0:00,65 to 80+,Female,"College, less than 4-yr degree","G: 50,000 to 74,999",25292
2001/1/11 0:00,65 to 80+,Male,High school or equivalent,"A: 0 to 4,999",25812
2001/1/11 0:00,65 to 80+,Female,Bachelor's degree or higher,"A: 0 to 4,999",25829
2001/1/11 0:00,00 to 17,Female,No high school diploma,"B: 5,000 to 9,999",25907
2001/1/11 0:00,65 to 80+,Female,High school or equivalent,"G: 50,000 to 74,999",27438
2001/1/11 0:00,65 to 80+,Male,No high school diploma,"A: 0 to 4,999",27629
2001/1/11 0:00,65 to 80+,Male,Bachelor's degree or higher,"B: 5,000 to 9,999",28190
2001/1/11 0:00,65 to 80+,Female,"College, less than 4-yr degree","A: 0 to 4,999",29080
2001/1/11 0:00,65 to 80+,Female,"College, less than 4-yr degree","H: 75,000 and over",33485
2001/1/11 0:00,65 to 80+,Male,High school or equivalent,"F: 35,000 to 49,999",34214
2001/1/11 0:00,65 to 80+,Male,"College, less than 4-yr degree","B: 5,000 to 9,999",37367
2001/1/11 0:00,65 to 80+,Male,High school or equivalent,"G: 50,000 to 74,999",38236
2001/1/11 0:00,18 to 64,Male,No high school diploma,"H: 75,000 and over",38335
2001/1/11 0:00,65 to 80+,Female,High school or equivalent,"A: 0 to 4,999",43062
2001/1/11 0:00,65 to 80+,Female,"College, less than 4-yr degree","F: 35,000 to 49,999",43331
2001/1/11 0:00,65 to 80+,Male,Bachelor's degree or higher,"C: 10,000 to 14,999",47668
2001/1/11 0:00,65 to 80+,Female,Bachelor's degree or higher,"B: 5,000 to 9,999",49166
2001/1/11 0:00,18 to 64,Female,High school or equivalent,"H: 75,000 and over",51155
2001/1/11 0:00,65 to 80+,Female,High school or equivalent,"F: 35,000 to 49,999",52376
2001/1/11 0:00,65 to 80+,Male,"College, less than 4-yr degree","G: 50,000 to 74,999",53447
2001/1/11 0:00,65 to 80+,Male,"College, less than 4-yr degree","F: 35,000 to 49,999",54755
2001/1/11 0:00,18 to 64,Female,No high school diploma,"F: 35,000 to 49,999",57985
2001/1/11 0:00,65 to 80+,Female,Bachelor's degree or higher,"F: 35,000 to 49,999",58285
2001/1/11 0:00,65 to 80+,Male,No high school diploma,"B: 5,000 to 9,999",63343
2001/1/11 0:00,65 to 80+,Male,High school or equivalent,"E: 25,000 to 34,999",64250
2001/1/11 0:00,65 to 80+,Male,"College, less than 4-yr degree","H: 75,000 and over",64832
2001/1/11 0:00,65 to 80+,Female,High school or equivalent,"E: 25,000 to 34,999",65587
2001/1/11 0:00,65 to 80+,Male,"College, less than 4-yr degree","C: 10,000 to 14,999",66646
2001/1/11 0:00,65 to 80+,Female,Bachelor's degree or higher,"C: 10,000 to 14,999",67525
2001/1/11 0:00,65 to 80+,Female,No high school diploma,"D: 15,000 to 24,999",68997
2001/1/11 0:00,65 to 80+,Male,"College, less than 4-yr degree","E: 25,000 to 34,999",71541
2001/1/11 0:00,65 to 80+,Female,Bachelor's degree or higher,"H: 75,000 and over",75921
2001/1/11 0:00,65 to 80+,Female,No high school diploma,"A: 0 to 4,999",77617
2001/1/11 0:00,65 to 80+,Male,No high school diploma,"D: 15,000 to 24,999",80402
2001/1/11 0:00,65 to 80+,Female,Bachelor's degree or higher,"E: 25,000 to 34,999",80989
2001/1/11 0:00,65 to 80+,Male,High school or equivalent,"C: 10,000 to 14,999",82082
2001/1/11 0:00,65 to 80+,Male,No high school diploma,"C: 10,000 to 14,999",86809
2001/1/11 0:00,65 to 80+,Male,Bachelor's degree or higher,"F: 35,000 to 49,999",87337
2001/1/11 0:00,65 to 80+,Female,"College, less than 4-yr degree","E: 25,000 to 34,999",88513
2001/1/11 0:00,65 to 80+,Female,Bachelor's degree or higher,"G: 50,000 to 74,999",90812
2001/1/11 0:00,18 to 64,Female,No high school diploma,"E: 25,000 to 34,999",91755
2001/1/11 0:00,65 to 80+,Male,Bachelor's degree or higher,"E: 25,000 to 34,999",92725
2001/1/11 0:00,18 to 64,Male,Bachelor's degree or higher,"B: 5,000 to 9,999",97326
2001/1/11 0:00,18 to 64,Male,No high school diploma,"G: 50,000 to 74,999",100776
2001/1/11 0:00,65 to 80+,Male,"College, less than 4-yr degree","D: 15,000 to 24,999",100794
2001/1/11 0:00,65 to 80+,Female,"College, less than 4-yr degree","C: 10,000 to 14,999",102391
2001/1/11 0:00,65 to 80+,Male,Bachelor's degree or higher,"D: 15,000 to 24,999",106705
2001/1/11 0:00,65 to 80+,Female,"College, less than 4-yr degree","B: 5,000 to 9,999",107745
2001/1/11 0:00,65 to 80+,Male,High school or equivalent,"D: 15,000 to 24,999",107748
2001/1/11 0:00,18 to 64,Male,Bachelor's degree or higher,"A: 0 to 4,999",113687
2001/1/11 0:00,65 to 80+,Female,Bachelor's degree or higher,"D: 15,000 to 24,999",114697
2001/1/11 0:00,18 to 64,Female,Bachelor's degree or higher,"B: 5,000 to 9,999",121211
2001/1/11 0:00,65 to 80+,Female,High school or equivalent,"C: 10,000 to 14,999",125104
2001/1/11 0:00,18 to 64,Male,Bachelor's degree or higher,"C: 10,000 to 14,999",126768
2001/1/11 0:00,18 to 64,Female,High school or equivalent,"G: 50,000 to 74,999",139946
2001/1/11 0:00,65 to 80+,Female,High school or equivalent,"B: 5,000 to 9,999",140300
2001/1/11 0:00,65 to 80+,Female,High school or equivalent,"D: 15,000 to 24,999",148331
2001/1/11 0:00,65 to 80+,Male,Bachelor's degree or higher,"G: 50,000 to 74,999",148745
2001/1/11 0:00,65 to 80+,Female,"College, less than 4-yr degree","D: 15,000 to 24,999",152093
2001/1/11 0:00,65 to 80+,Female,No high school diploma,"C: 10,000 to 14,999",152780
2001/1/11 0:00,18 to 64,Female,Bachelor's degree or higher,"C: 10,000 to 14,999",170533
2001/1/11 0:00,65 to 80+,Male,Bachelor's degree or higher,"H: 75,000 and over",175775
2001/1/11 0:00,18 to 64,Male,No high school diploma,"F: 35,000 to 49,999",175841
2001/1/11 0:00,65 to 80+,Female,No high school diploma,"B: 5,000 to 9,999",175975
2001/1/11 0:00,18 to 64,Male,No high school diploma,"B: 5,000 to 9,999",177781
2001/1/11 0:00,18 to 64,Male,High school or equivalent,"B: 5,000 to 9,999",179616
2001/1/11 0:00,18 to 64,Male,High school or equivalent,"H: 75,000 and over",188373
2001/1/11 0:00,18 to 64,Female,"College, less than 4-yr degree","H: 75,000 and over",194826
2001/1/11 0:00,18 to 64,Male,Bachelor's degree or higher,"D: 15,000 to 24,999",230412
2001/1/11 0:00,18 to 64,Male,"College, less than 4-yr degree","B: 5,000 to 9,999",231167
2001/1/11 0:00,18 to 64,Female,No high school diploma,"B: 5,000 to 9,999",246973
2001/1/11 0:00,18 to 64,Male,Bachelor's degree or higher,"E: 25,000 to 34,999",248724
2001/1/11 0:00,18 to 64,Male,High school or equivalent,"C: 10,000 to 14,999",264534
2001/1/11 0:00,18 to 64,Female,Bachelor's degree or higher,"A: 0 to 4,999",266304
2001/1/11 0:00,18 to 64,Female,No high school diploma,"C: 10,000 to 14,999",273029
2001/1/11 0:00,18 to 64,Female,Bachelor's degree or higher,"E: 25,000 to 34,999",286343
2001/1/11 0:00,18 to 64,Male,"College, less than 4-yr degree","C: 10,000 to 14,999",288293
2001/1/11 0:00,18 to 64,Male,No high school diploma,"C: 10,000 to 14,999",288850
2001/1/11 0:00,18 to 64,Female,High school or equivalent,"B: 5,000 to 9,999",291364
2001/1/11 0:00,18 to 64,Male,No high school diploma,"E: 25,000 to 34,999",295383
2001/1/11 0:00,18 to 64,Female,No high school diploma,"D: 15,000 to 24,999",301428
2001/1/11 0:00,18 to 64,Female,High school or equivalent,"C: 10,000 to 14,999",305265
2001/1/11 0:00,18 to 64,Female,High school or equivalent,"F: 35,000 to 49,999",311597
2001/1/11 0:00,18 to 64,Female,Bachelor's degree or higher,"D: 15,000 to 24,999",314317
2001/1/11 0:00,18 to 64,Female,High school or equivalent,"E: 25,000 to 34,999",323001
2001/1/11 0:00,18 to 64,Female,"College, less than 4-yr degree","G: 50,000 to 74,999",323702
2001/1/11 0:00,18 to 64,Male,Bachelor's degree or higher,"F: 35,000 to 49,999",331666
2001/1/11 0:00,18 to 64,Male,"College, less than 4-yr degree","A: 0 to 4,999",331991
2001/1/11 0:00,18 to 64,Male,"College, less than 4-yr degree","E: 25,000 to 34,999",353200
2001/1/11 0:00,18 to 64,Male,No high school diploma,"A: 0 to 4,999",359401
2001/1/11 0:00,18 to 64,Female,"College, less than 4-yr degree","B: 5,000 to 9,999",367713
2001/1/11 0:00,18 to 64,Female,"College, less than 4-yr degree","C: 10,000 to 14,999",368797
2001/1/11 0:00,18 to 64,Male,High school or equivalent,"G: 50,000 to 74,999",387890
2001/1/11 0:00,18 to 64,Male,"College, less than 4-yr degree","D: 15,000 to 24,999",412679
2001/1/11 0:00,18 to 64,Male,High school or equivalent,"E: 25,000 to 34,999",422294
2001/1/11 0:00,18 to 64,Female,High school or equivalent,"D: 15,000 to 24,999",425683
2001/1/11 0:00,18 to 64,Female,"College, less than 4-yr degree","F: 35,000 to 49,999",427109
2001/1/11 0:00,18 to 64,Male,High school or equivalent,"A: 0 to 4,999",450644
2001/1/11 0:00,18 to 64,Female,"College, less than 4-yr degree","E: 25,000 to 34,999",460822
2001/1/11 0:00,18 to 64,Male,"College, less than 4-yr degree","H: 75,000 and over",462728
2001/1/11 0:00,18 to 64,Male,High school or equivalent,"F: 35,000 to 49,999",477882
2001/1/11 0:00,18 to 64,Male,"College, less than 4-yr degree","F: 35,000 to 49,999",480546
2001/1/11 0:00,18 to 64,Female,Bachelor's degree or higher,"F: 35,000 to 49,999",483781
2001/1/11 0:00,18 to 64,Male,"College, less than 4-yr degree","G: 50,000 to 74,999",489968
2001/1/11 0:00,18 to 64,Male,High school or equivalent,"D: 15,000 to 24,999",519889
2001/1/11 0:00,18 to 64,Female,"College, less than 4-yr degree","A: 0 to 4,999",525597
2001/1/11 0:00,18 to 64,Female,"College, less than 4-yr degree","D: 15,000 to 24,999",542492
2001/1/11 0:00,18 to 64,Male,No high school diploma,"D: 15,000 to 24,999",546856
2001/1/11 0:00,18 to 64,Female,High school or equivalent,"A: 0 to 4,999",575559
2001/1/11 0:00,00 to 17,Female,No high school diploma,"A: 0 to 4,999",634048
2001/1/11 0:00,18 to 64,Male,Bachelor's degree or higher,"G: 50,000 to 74,999",644826
2001/1/11 0:00,18 to 64,Female,Bachelor's degree or higher,"G: 50,000 to 74,999",676522
2001/1/11 0:00,00 to 17,Male,No high school diploma,"A: 0 to 4,999",679824
2001/1/11 0:00,18 to 64,Female,No high school diploma,"A: 0 to 4,999",748885
2001/1/11 0:00,18 to 64,Female,Bachelor's degree or higher,"H: 75,000 and over",777479
2001/1/11 0:00,18 to 64,Male,Bachelor's degree or higher,"H: 75,000 and over",1396795
2001/1/12 0:00,00 to 17,Male,No high school diploma,"E: 25,000 to 34,999",1104
2001/1/12 0:00,00 to 17,Female,"College, less than 4-yr degree","D: 15,000 to 24,999",1198
2001/1/12 0:00,00 to 17,Female,Bachelor's degree or higher,"E: 25,000 to 34,999",1198
2001/1/12 0:00,00 to 17,Female,No high school diploma,"H: 75,000 and over",1553
2001/1/12 0:00,00 to 17,Male,No high school diploma,"F: 35,000 to 49,999",1636
2001/1/12 0:00,00 to 17,Male,Bachelor's degree or higher,"A: 0 to 4,999",1680
