Year,Age,Gender,Educational Attainment,Personal Income,Population Count
2001/1/8 0:00,18 to 64,Female,High school or equivalent,"A: 0 to 4,999",528876
2001/1/8 0:00,18 to 64,Female,"College, less than 4-yr degree","F: 35,000 to 49,999",536363
2001/1/8 0:00,18 to 64,Male,"College, less than 4-yr degree","F: 35,000 to 49,999",539958
2001/1/8 0:00,18 to 64,Male,No high school diploma,"D: 15,000 to 24,999",573769
2001/1/8 0:00,18 to 64,Male,"College, less than 4-yr degree","G: 50,000 to 74,999",591795
2001/1/8 0:00,00 to 17,Female,No high school diploma,"A: 0 to 4,999",635274
2001/1/8 0:00,00 to 17,Male,No high school diploma,"A: 0 to 4,999",650889
2001/1/8 0:00,18 to 64,Male,Bachelor's degree or higher,"G: 50,000 to 74,999",690627
2001/1/8 0:00,18 to 64,Female,No high school diploma,"A: 0 to 4,999",740143
2001/1/8 0:00,18 to 64,Female,Bachelor's degree or higher,"G: 50,000 to 74,999",770798
2001/1/8 0:00,18 to 64,Female,Bachelor's degree or higher,"H: 75,000 and over",781211
2001/1/8 0:00,18 to 64,Male,Bachelor's degree or higher,"H: 75,000 and over",1456566
2001/1/9 0:00,00 to 17,Male,"College, less than 4-yr degree","B: 5,000 to 9,999",1117
2001/1/9 0:00,00 to 17,Male,High school or equivalent,"B: 5,000 to 9,999",1185
2001/1/9 0:00,00 to 17,Female,High school or equivalent,"D: 15,000 to 24,999",1294
2001/1/9 0:00,65 to 80+,Female,No high school diploma,"H: 75,000 and over",1398
2001/1/9 0:00,00 to 17,Female,"College, less than 4-yr degree","D: 15,000 to 24,999",1780
2001/1/9 0:00,00 to 17,Female,No high school diploma,"G: 50,000 to 74,999",1797
2001/1/9 0:00,00 to 17,Female,No high school diploma,"F: 35,000 to 49,999",1800
2001/1/9 0:00,00 to 17,Male,No high school diploma,"E: 25,000 to 34,999",1829
2001/1/9 0:00,00 to 17,Male,"College, less than 4-yr degree","C: 10,000 to 14,999",1878
2001/1/9 0:00,00 to 17,Male,High school or equivalent,"D: 15,000 to 24,999",2520
2001/1/9 0:00,00 to 17,Male,"College, less than 4-yr degree","D: 15,000 to 24,999",2754
2001/1/9 0:00,00 to 17,Male,"College, less than 4-yr degree","A: 0 to 4,999",2887
2001/1/9 0:00,65 to 80+,Male,No high school diploma,"H: 75,000 and over",2915
2001/1/9 0:00,00 to 17,Female,High school or equivalent,"B: 5,000 to 9,999",3169
2001/1/9 0:00,00 to 17,Male,No high school diploma,"D: 15,000 to 24,999",3222
2001/1/9 0:00,65 to 80+,Female,No high school diploma,"F: 35,000 to 49,999",4060
2001/1/9 0:00,00 to 17,Female,"College, less than 4-yr degree","A: 0 to 4,999",4408
2001/1/9 0:00,65 to 80+,Male,Bachelor's degree or higher,"A: 0 to 4,999",6660
2001/1/9 0:00,00 to 17,Male,No high school diploma,"C: 10,000 to 14,999",7651
2001/1/9 0:00,65 to 80+,Female,No high school diploma,"G: 50,000 to 74,999",7703
2001/1/9 0:00,00 to 17,Female,High school or equivalent,"A: 0 to 4,999",9209
